词:的	词频:22848
词:是	词频:4123
词:在	词频:3538
词:他	词频:2522
词:了	词频:2288
词:人	词频:2089
词:他们	词频:1811
词:和	词频:1746
词:有	词频:1478
词:我	词频:1433
词:而	词频:1422
词:就	词频:1420
词:不	词频:1413
词:我们	词频:1349
词:这种	词频:1321
词:对	词频:1308
词:一个	词频:1273
词:也	词频:1260
词:这	词频:1159
词:中	词频:1119
词:都	词频:1107
词:自己	词频:1095
词:会	词频:1001
词:一种	词频:967
词:上	词频:954
词:孩子	词频:924
词:它	词频:916
词:没有	词频:885
词:如果	词频:766
词:但	词频:760
词:因为	词频:716
词:地	词频:714
词:所	词频:672
词:与	词频:666
词:―	词频:663
词:并	词频:648
词:那些	词频:613
词:可以	词频:612
词:人们	词频:611
词:认为	词频:611
词:你	词频:610
词:使	词频:605
词:生活	词频:594
词:这些	词频:585
词:被	词频:585
词:但是	词频:583
词:要	词频:548
词:可能	词频:528
词:很	词频:526
词:不是	词频:525
词:把	词频:520
词:去	词频:510
词:时	词频:505
词:到	词频:504
词:为	词频:466
词:教育	词频:462
词:能	词频:460
词:说	词频:458
词:对于	词频:452
词:更	词频:447
词:幸福	词频:445
词:从	词频:427
词:将	词频:425
词:不能	词频:414
词:应该	词频:412
词:们	词频:409
词:问题	词频:405
词:这样	词频:404
词:或	词频:403
词:工作	词频:383
词:以	词频:376
词:这个	词频:361
词:她	词频:359
词:来	词频:356
词:世界	词频:353
词:着	词频:348
词:社会	词频:343
词:于	词频:340
词:比	词频:340
词:就是	词频:339
词:做	词频:336
词:需要	词频:332
词:任何	词频:327
词:里	词频:325
词:现在	词频:317
词:什么	词频:316
词:当	词频:316
词:国家	词频:316
词:由于	词频:313
词:产生	词频:310
词:一样	词频:307
词:其	词频:307
词:最	词频:305
词:时候	词频:301
词:则	词频:300
词:所有	词频:300
词:许多	词频:298
词:又	词频:297
词:那	词频:293
词:东西	词频:292
词:必须	词频:292
词:快乐	词频:291
词:得	词频:290
词:一些	词频:287
词:因此	词频:286
词:得到	词频:285
词:却	词频:281
词:道德	词频:281
词:妇女	词频:281
词:父母	词频:280
词:人类	词频:275
词:事情	词频:275
词:情况	词频:274
词:发现	词频:270
词:给	词频:261
词:那么	词频:261
词:然而	词频:260
词:一切	词频:260
词:存在	词频:260
词:想	词频:258
词:希望	词频:258
词:而且	词频:257
词:多	词频:255
词:完全	词频:254
词:恐惧	词频:254
词:方法	词频:253
词:重要	词频:252
词:获得	词频:250
词:不会	词频:245
词:儿童	词频:237
词:过	词频:235
词:感到	词频:233
词:并且	词频:232
词:家庭	词频:232
词:下	词频:231
词:还	词频:231
词:方面	词频:229
词:像	词频:224
词:性	词频:224
词:观点	词频:223
词:结果	词频:221
词:来说	词频:219
词:它们	词频:218
词:通过	词频:218
词:这一	词频:218
词:婚姻	词频:217
词:一	词频:216
词:行为	词频:216
词:情感	词频:216
词:发生	词频:216
词:已经	词频:215
词:之	词频:212
词:知道	词频:211
词:能够	词频:209
词:爱	词频:208
词:爱情	词频:208
词:只要	词频:206
词:让	词频:206
词:现代	词频:202
词:不幸	词频:201
词:那种	词频:199
词:也许	词频:199
词:容易	词频:199
词:不过	词频:197
词:事	词频:197
词:其他	词频:196
词:个人	词频:195
词:关系	词频:195
词:时代	词频:193
词:只是	词频:193
词:相信	词频:192
词:只有	词频:192
词:她们	词频:192
词:受到	词频:191
词:当然	词频:190
词:自由	词频:190
词:文明	词频:189
词:一定	词频:189
词:心理	词频:188
词:才	词频:187
词:父亲	词频:186
词:男子	词频:185
词:影响	词频:183
词:原因	词频:182
词:别人	词频:182
词:成为	词频:181
词:好	词频:181
词:同样	词频:180
词:如此	词频:179
词:假如	词频:179
词:满足	词频:178
词:态度	词频:178
词:由	词频:177
词:真正	词频:176
词:美国	词频:174
词:本能	词频:173
词:或者	词频:170
词:目的	词频:170
词:知识	词频:170
词:非常	词频:169
词:理由	词频:167
词:大多数	词频:166
词:为了	词频:166
词:自然	词频:165
词:这是	词频:164
词:一点	词频:162
词:不同	词频:161
词:母亲	词频:161
词:妻子	词频:160
词:形式	词频:159
词:只	词频:158
词:事实	词频:157
词:除了	词频:156
词:即使	词频:156
词:具有	词频:155
词:那样	词频:154
词:便	词频:154
词:新	词频:153
词:变得	词频:152
词:方式	词频:151
词:活动	词频:148
词:兴趣	词频:147
词:痛苦	词频:147
词:自我	词频:146
词:用	词频:146
词:地方	词频:146
词:另	词频:146
词:即	词频:146
词:虽然	词频:145
词:因而	词频:145
词:成功	词频:142
词:理性	词频:142
词:制度	词频:141
词:时间	词频:141
词:法律	词频:141
词:的话	词频:140
词:发展	词频:139
词:开始	词频:137
词:经济	词频:137
词:有些	词频:137
词:已	词频:136
词:情绪	词频:135
词:以及	词频:135
词:权力	词频:135
词:某种	词频:133
词:如何	词频:131
词:战争	词频:131
词:精神	词频:131
词:在于	词频:130
词:习惯	词频:129
词:更为	词频:128
词:者	词频:128
词:不再	词频:128
词:情形	词频:128
词:男人	词频:127
词:科学	词频:127
词:作用	词频:127
词:基督教	词频:127
词:冲动	词频:126
词:所以	词频:126
词:还是	词频:125
词:还有	词频:125
词:似乎	词频:125
词:主要	词频:125
词:引起	词频:124
词:讨论	词频:124
词:作为	词频:124
词:危险	词频:123
词:价值	词频:123
词:带来	词频:122
词:程度	词频:121
词:一旦	词频:120
词:生命	词频:120
词:以前	词频:119
词:事物	词频:119
词:达到	词频:119
词:认识	词频:119
词:如	词频:118
词:大	词频:118
词:之间	词频:117
词:必要	词频:116
词:同	词频:116
词:受	词频:116
词:接受	词频:115
词:某些	词频:114
词:思想	词频:114
词:才能	词频:114
词:可	词频:114
词:忌妒	词频:114
词:往往	词频:113
词:甚至	词频:113
词:时期	词频:113
词:起来	词频:113
词:几乎	词频:112
词:子女	词频:112
词:要求	词频:112
词:不管	词频:111
词:总是	词频:111
词:后	词频:111
词:普遍	词频:109
词:仍然	词频:109
词:一部分	词频:108
词:关于	词频:108
词:宗教	词频:108
词:不要	词频:108
词:以后	词频:108
词:反对	词频:108
词:再	词频:107
词:意识	词频:106
词:中国	词频:106
词:女人	词频:105
词:加以	词频:105
词:出	词频:104
词:喜欢	词频:104
词:向	词频:104
词:表现	词频:104
词:传统	词频:104
词:内	词频:104
词:承认	词频:103
词:进行	词频:103
词:强烈	词频:103
词:一位	词频:103
词:令人	词频:103
词:部分	词频:103
词:整个	词频:103
词:因素	词频:102
词:应	词频:102
词:厌烦	词频:101
词:确实	词频:101
词:使得	词频:101
词:政治	词频:101
词:尽管	词频:101
词:最后	词频:100
词:仅仅	词频:100
词:动机	词频:100
词:而是	词频:99
词:对待	词频:99
词:其中	词频:98
词:实际上	词频:98
词:除非	词频:98
词:观念	词频:98
词:英国	词频:98
词:女子	词频:97
词:政府	词频:97
词:人口	词频:97
词:本身	词频:95
词:之一	词频:95
词:觉得	词频:95
词:根据	词频:95
词:困难	词频:95
词:看来	词频:94
词:各种	词频:93
词:一般	词频:93
词:增加	词频:93
词:或许	词频:92
词:能力	词频:92
词:充分	词频:92
词:过去	词频:92
词:罪恶	词频:91
词:导致	词频:90
词:最好	词频:90
词:别的	词频:90
词:之后	词频:89
词:生产	词频:89
词:其它	词频:89
词:考虑	词频:89
词:出来	词频:89
词:很少	词频:89
词:身上	词频:88
词:常常	词频:88
词:减少	词频:88
词:理论	词频:88
词:丈夫	词频:88
词:无论	词频:87
词:比起	词频:87
词:办法	词频:87
词:一直	词频:87
词:享受	词频:86
词:怀疑	词频:86
词:根本	词频:85
词:每	词频:85
词:成	词频:85
词:不得不	词频:85
词:更加	词频:84
词:唯一	词频:84
词:信仰	词频:84
词:当作	词频:84
词:拥有	词频:84
词:努力	词频:84
词:离婚	词频:84
词:以为	词频:83
词:乐趣	词频:83
词:机会	词频:83
词:目标	词频:82
词:愿望	词频:82
词:正确	词频:82
词:相反	词频:81
词:实现	词频:81
词:给予	词频:81
词:是因为	词频:81
词:同时	词频:81
词:主张	词频:81
词:艺术	词频:81
词:感觉	词频:81
词:热情	词频:80
词:类	词频:80
词:值得	词频:80
词:之中	词频:80
词:有关	词频:80
词:培养	词频:80
词:是否	词频:80
词:只能	词频:80
词:力量	词频:80
词:个	词频:79
词:太	词频:79
词:无	词频:79
词:每个	词频:79
词:惩罚	词频:79
词:智力	词频:79
词:利益	词频:78
词:失去	词频:78
词:仍	词频:78
词:研究	词频:78
词:意义	词频:77
词:特别	词频:77
词:疲劳	词频:77
词:造成	词频:77
词:动物	词频:76
词:健康	词频:76
词:明显	词频:76
词:消除	词频:76
词:他人	词频:76
词:出现	词频:76
词:保持	词频:76
词:青年	词频:76
词:要是	词频:76
词:死亡	词频:76
词:婴儿	词频:76
词:看	词频:75
词:等	词频:75
词:儿女	词频:75
词:看作	词频:75
词:?	词频:75
词:曾经	词频:75
词:之外	词频:75
词:看法	词频:74
词:例如	词频:73
词:比较	词频:73
词:表示	词频:73
词:人生	词频:73
词:环境	词频:73
词:一件	词频:73
词:感情	词频:72
词:结婚	词频:72
词:通常	词频:72
词:以至于	词频:71
词:追求	词频:71
词:欲望	词频:71
词:邪恶	词频:71
词:年	词频:71
词:避免	词频:71
词:学会	词频:70
词:自身	词频:70
词:信念	词频:70
词:变成	词频:70
词:证明	词频:70
词:不仅	词频:70
词:性交	词频:70
词:些	词频:70
词:呢	词频:69
词:遭受	词频:69
词:主义	词频:69
词:纯粹	词频:69
词:尤其	词频:69
词:简单	词频:68
词:从事	词频:67
词:属于	词频:67
词:错误	词频:67
词:理想	词频:67
词:限制	词频:67
词:起	词频:67
词:愿意	词频:67
词:首先	词频:67
词:因	词频:67
词:学校	词频:67
词:于是	词频:66
词:允许	词频:66
词:西方	词频:66
词:看到	词频:65
词:很大	词频:65
词:的确	词频:65
词:得以	词频:65
词:两种	词频:65
词:职业	词频:65
词:勇气	词频:65
词:有时	词频:64
词:伟大	词频:64
词:两个	词频:64
词:年轻人	词频:64
词:竞争	词频:64
词:地位	词频:64
词:相当	词频:64
词:生育	词频:64
词:曾	词频:63
词:提供	词频:63
词:贵族	词频:63
词:告诉	词频:63
词:前	词频:63
词:手段	词频:62
词:劳动	词频:62
词:世纪	词频:62
词:作出	词频:62
词:事实上	词频:62
词:使人	词频:61
词:外	词频:61
词:哲学	词频:61
词:有人	词频:61
词:很多	词频:61
词:兴奋	词频:61
词:原则	词频:61
词:食物	词频:60
词:这么	词频:60
词:了解	词频:60
词:智慧	词频:60
词:多少	词频:60
词:社会主义	词频:60
词:习俗	词频:60
词:作	词频:59
词:足够	词频:59
词:无法	词频:59
词:历史	词频:59
词:改变	词频:59
词:意见	词频:59
词:幸福之路	词频:58
词:以外	词频:58
词:忍受	词频:58
词:全部	词频:58
词:之所以	词频:58
词:过程	词频:58
词:出于	词频:58
词:欧洲	词频:58
词:充满	词频:58
词:心灵	词频:58
词:过分	词频:57
词:总	词频:57
词:表明	词频:57
词:控制	词频:57
