词:的 人	词频:923
词:他 的	词频:503
词:自己 的	词频:480
词:上 的	词频:357
词:他们 的	词频:335
词:人 的	词频:293
词:的 时候	词频:261
词:就 会	词频:225
词:的 东西	词频:207
词:都 是	词频:206
词:的 生活	词频:193
词:的 孩子	词频:192
词:一个 人	词频:191
词:的 是	词频:184
词:中 的	词频:175
词:我们 的	词频:170
词:也 是	词频:163
词:是 一种	词频:163
词:幸福 的	词频:150
词:并 不	词频:150
词:不 可能	词频:147
词:的 事情	词频:147
词:而 不是	词频:142
词:并 不是	词频:137
词:重要 的	词频:136
词:的 事	词频:135
词:的 问题	词频:133
词:这样 的	词频:125
词:情况 下	词频:124
词:的 快乐	词频:123
词:它 的	词频:123
词:孩子 的	词频:123
词:我 认为	词频:121
词:所有 的	词频:118
词:的 幸福	词频:117
词:生活 的	词频:116
词:是 不	词频:116
词:的 行为	词频:115
词:的 方法	词频:111
词:是 很	词频:105
词:的 工作	词频:105
词:的 关系	词频:105
词:的 教育	词频:103
词:多 的	词频:103
词:在 他	词频:102
词:的 观点	词频:102
词:真正 的	词频:101
词:我 的	词频:99
词:这 一点	词频:99
词:他 就	词频:95
词:你 的	词频:94
词:的 地方	词频:94
词:的 影响	词频:94
词:的 道德	词频:94
词:孩子 们	词频:93
词:的 恐惧	词频:92
词:教育 的	词频:91
词:同样 的	词频:90
词:是 在	词频:90
词:性 的	词频:90
词:并 没有	词频:89
词:是 一个	词频:88
词:的 态度	词频:87
词:的 社会	词频:87
词:我 想	词频:86
词:的 结果	词频:86
词:的 情感	词频:86
词:的 情况	词频:85
词:的 原因	词频:85
词:如果 他	词频:84
词:的 兴趣	词频:82
词:的 一个	词频:82
词:的 爱	词频:81
词:更 多	词频:81
词:这 一	词频:80
词:在 这种	词频:79
词:的 理由	词频:79
词:好 的	词频:79
词:不同 的	词频:78
词:的 作用	词频:78
词:的 人们	词频:77
词:这种 情况	词频:77
词:是 由于	词频:77
词:人 都	词频:77
词:这 类	词频:76
词:使 他	词频:76
词:新 的	词频:76
词:人们 的	词频:75
词:如果 你	词频:75
词:人类 的	词频:74
词:做 的	词频:74
词:不幸 的	词频:73
词:可能 的	词频:73
词:有 一种	词频:73
词:她 的	词频:72
词:没有 什么	词频:70
词:认为 是	词频:70
词:在 这	词频:69
词:也 有	词频:69
词:的 一种	词频:69
词:被 人	词频:69
词:有 的	词频:69
词:这 一切	词频:68
词:的 世界	词频:68
词:的 那种	词频:68
词:的 妇女	词频:67
词:对 自己	词频:66
词:的 方式	词频:66
词:快乐 的	词频:66
词:世界 的	词频:65
词:的 心理	词频:65
词:我 不	词频:64
词:的 习惯	词频:64
词:都 会	词频:64
词:也 会	词频:64
词:生活 中	词频:64
词:们 的	词频:63
词:很 容易	词频:62
词:理性 的	词频:62
词:的 目的	词频:61
词:方面 的	词频:61
词:也 不	词频:61
词:的 家庭	词频:61
词:个人 的	词频:60
词:它 是	词频:60
词:的 活动	词频:59
词:正确 的	词频:59
词:父亲 的	词频:59
词:的 思想	词频:58
词:的 本能	词频:58
词:使 人	词频:58
词:认识 到	词频:58
词:的 妻子	词频:58
词:的 国家	词频:58
词:我 并	词频:58
词:这个 问题	词频:57
词:的 知识	词频:57
词:是 对	词频:57
词:都 有	词频:57
词:的 动机	词频:57
词:他们 就	词频:56
词:的 痛苦	词频:56
词:但 在	词频:56
词:就 像	词频:55
词:必要 的	词频:55
词:人 来说	词频:55
词:的 那样	词频:55
词:的 爱情	词频:55
词:因为 他们	词频:55
词:的 愿望	词频:55
词:需要 的	词频:54
